"jenis_kelamin","umur","asal","penempatan","gaji","pendidikan","IPK","pengalaman","jenis_rekrut","id","status_rekrut"
"0","1","10","29","5","0",2.73,"0","2","147","0"
"0","2","19","5","3","0",1.49,"3","1","148","0"
"1","1","1","8","5","0",1.86,"3","1","149","0"
"0","2","15","15","2","1",3.7,"1","1","150","1"
"0","2","19","19","3","1",3.92,"4","2","151","1"
"1","1","15","18","4","0",2.57,"2","2","152","0"
"0","2","24","18","4","0",2.63,"3","2","153","0"
"1","1","21","32","4","0",2.3,"5","1","154","0"
"1","2","17","17","3","2",3.41,"3","2","155","1"
"0","1","21","6","4","0",2.24,"1","2","156","0"
"0","2","28","28","2","1",3.9,"0","1","157","1"
"0","2","12","34","3","0",1.74,"3","1","158","0"
"1","1","14","14","1","2",3.6,"0","1","159","1"
"0","1","8","5","5","0",2.75,"5","2","160","0"
"0","3","23","20","4","0",1.69,"0","1","161","0"
"1","2","17","17","5","0",1.13,"0","1","162","0"
"1","1","11","14","3","0",2.31,"1","2","163","0"
"1","2","24","24","1","1",3.3,"1","1","164","1"
"1","2","34","34","1","2",3.1,"2","1","165","1"
"0","1","7","7","1","2",3.3,"0","1","166","1"
"0","2","6","6","3","1",3.58,"4","2","167","1"
"0","2","32","32","2","3",3.82,"4","2","168","1"
"0","1","11","11","1","2",3.3,"1","1","169","1"
"1","2","27","27","3","1",3.29,"4","2","170","1"
"0","1","27","27","3","3",3.41,"3","2","171","1"
"1","2","11","11","2","0",3.81,"3","2","172","1"
"0","1","21","21","3","0",3.31,"2","2","173","1"
"0","3","3","7","3","2",1.83,"5","1","174","0"
"0","2","22","20","4","1",1.71,"3","1","175","0"
"1","1","21","12","3","1",1.84,"1","2","176","0"
"1","3","33","1","5","0",1.78,"5","2","177","0"
"0","2","23","23","3","1",3.45,"4","2","178","1"
"1","1","10","10","1","3",3.5,"0","1","179","1"
"0","1","14","14","3","2",3.66,"4","2","180","1"
"1","3","26","4","5","0",1.87,"3","2","181","0"
"1","1","15","15","2","0",4.0,"0","1","182","1"
"0","2","10","10","3","0",3.47,"2","2","183","1"
"1","1","15","15","2","1",3.4,"0","1","184","1"
"0","2","13","13","2","0",3.93,"2","2","185","1"
"1","2","3","3","3","0",3.99,"4","2","186","1"
"1","1","25","20","3","0",1.61,"2","1","187","0"
"1","2","1","1","2","0",3.76,"4","2","188","1"
"1","2","34","27","4","1",2.81,"3","2","189","0"
"1","2","34","34","2","2",3.1,"0","1","190","1"
"0","2","29","29","3","2",3.94,"4","2","191","1"
"1","2","1","1","1","1",3.7,"2","1","192","1"
"0","1","15","8","3","0",2.03,"5","2","193","0"
"1","3","22","12","3","0",1.99,"5","2","194","0"
"1","1","26","4","5","0",2.33,"2","1","195","0"
"1","1","3","3","2","2",3.46,"4","2","196","1"
"0","1","22","2","5","0",1.8,"5","1","197","0"
"1","1","20","20","3","2",3.81,"2","2","198","1"
"1","1","2","2","2","1",3.28,"3","2","199","1"
"1","2","14","10","5","0",1.49,"4","1","200","0"
"1","3","17","23","3","0",2.91,"2","1","201","0"
"0","2","10","10","2","3",3.76,"4","2","202","1"
"1","2","3","3","3","2",3.3,"3","2","203","1"
"0","1","18","18","2","3",3.97,"2","2","204","1"
"1","2","30","24","5","0",1.73,"1","1","205","0"
"0","1","27","27","1","1",3.2,"2","1","206","1"
"0","3","10","10","3","1",3.39,"2","2","207","1"
"0","2","4","4","3","2",3.87,"3","2","208","1"
"1","1","11","11","2","2",4.0,"0","1","209","1"
"0","3","24","10","4","0",1.78,"4","1","210","0"
"0","2","27","33","4","0",1.05,"4","2","211","0"
"1","2","31","31","3","2",3.36,"2","2","212","1"
"1","2","26","26","3","3",3.99,"4","2","213","1"
"0","1","13","8","4","0",1.34,"5","2","214","0"
"0","3","20","13","4","0",1.57,"5","2","215","0"
"1","2","23","23","3","1",3.35,"3","2","216","1"
"0","1","13","13","1","2",3.5,"0","1","217","1"
"1","1","22","22","2","1",3.54,"4","2","218","1"
"1","3","3","29","4","0",2.2,"5","1","219","0"
"1","2","8","8","3","3",4.0,"2","2","220","1"
"1","1","21","13","5","0",2.57,"2","2","221","0"
"0","2","33","33","3","3",3.32,"2","2","222","1"
"1","2","18","18","3","3",3.96,"2","2","223","1"
"1","2","30","30","2","2",3.2,"0","1","224","1"
"1","1","6","6","2","3",3.55,"2","2","225","1"
"0","1","5","14","5","0",1.61,"5","2","226","0"
"1","1","1","1","2","1",3.7,"1","1","227","1"
"1","2","4","14","4","0",1.63,"2","1","228","0"
"0","2","33","11","3","0",1.44,"3","1","229","0"
"1","2","20","18","3","0",1.5,"0","1","230","0"
"1","2","18","8","4","0",2.69,"4","2","231","0"
"0","2","21","2","5","0",1.79,"1","2","232","0"
"1","1","2","2","1","1",3.2,"2","1","233","1"
"1","3","27","29","4","0",2.48,"3","2","234","0"
"0","3","25","34","4","0",1.85,"0","1","235","0"
"0","1","23","17","5","0",1.6,"5","1","250","0"
"0","3","10","10","4","0",1.62,"0","1","251","0"
"1","3","1","6","4","0",1.64,"2","1","252","0"
"0","2","17","30","5","0",2.8,"3","1","253","0"
"0","2","6","6","2","1",3.1,"2","1","254","1"
"0","3","23","24","3","0",1.24,"1","2","255","0"
"0","3","34","5","3","0",2.42,"2","1","256","0"
"0","2","22","25","4","0",2.25,"5","1","257","0"
"1","1","25","25","3","3",3.75,"2","2","258","1"
"1","3","31","32","5","0",2.11,"4","1","259","0"
"0","2","5","5","3","2",3.92,"3","2","260","1"
"1","2","13","13","3","1",3.62,"3","2","261","1"
"1","1","30","30","2","1",3.7,"1","1","262","1"
"1","3","29","18","3","0",2.03,"0","2","263","0"
"0","1","11","11","3","3",3.89,"3","2","264","1"
"0","2","30","30","1","1",3.2,"0","1","265","1"
"1","1","23","23","1","2",3.9,"0","1","266","1"
"1","2","31","31","3","1",3.96,"2","2","267","1"
"1","2","18","18","2","1",3.1,"1","1","268","1"
"1","3","25","24","4","0",2.19,"3","2","269","0"
"0","1","32","32","2","3",3.97,"2","2","270","1"
"1","3","7","8","3","0",1.52,"0","1","271","0"
"1","1","15","3","5","0",1.93,"3","2","272","0"
"0","2","6","6","3","3",3.29,"3","2","273","1"
"1","1","13","12","4","0",2.24,"5","1","274","0"
"1","3","7","15","5","0",1.51,"1","2","275","0"
"0","3","30","22","4","0",2.43,"1","1","276","0"
"1","2","3","33","3","0",2.21,"2","1","277","0"
"1","3","22","22","1","1",3.5,"0","1","278","1"
"1","2","18","18","2","2",3.44,"2","2","279","1"
"1","2","20","20","3","0",2.1,"3","1","280","0"
"1","1","11","11","1","1",3.9,"0","1","281","1"
"0","1","27","27","1","1",3.8,"2","1","282","1"
"1","2","16","16","2","3",3.65,"2","2","283","1"
"0","3","4","22","4","0",1.94,"1","1","284","0"
"1","1","9","27","3","0",1.49,"1","2","285","0"
"0","2","27","17","5","0",2.82,"0","1","286","0"
"0","1","23","4","4","0",2.41,"5","1","287","0"
"0","2","7","30","5","0",1.93,"3","2","288","0"
"0","2","6","6","2","2",3.1,"0","1","289","1"
"0","2","20","20","1","1",3.5,"1","1","290","1"
"0","1","3","3","1","2",3.2,"1","1","291","1"
"1","3","28","28","2","3",3.58,"2","2","292","1"
"0","3","12","21","5","0",1.21,"1","2","293","0"
"0","2","25","25","2","2",3.39,"4","2","294","1"
"1","1","24","24","2","3",3.3,"4","2","295","1"
"0","1","32","32","2","1",3.5,"2","1","296","1"
"1","1","18","18","2","3",3.49,"4","2","297","1"
"1","2","16","16","1","1",3.7,"2","1","298","1"
"1","3","20","1","3","0",2.04,"3","1","299","0"
"0","1","21","21","2","2",3.7,"2","1","300","1"
"0","1","20","17","4","0",2.19,"1","1","301","0"
"1","2","2","2","1","1",3.3,"2","1","302","1"
"0","1","12","12","3","3",3.98,"3","2","303","1"
"0","1","19","3","5","0",1.4,"0","1","304","0"
"1","3","9","11","4","0",2.24,"4","1","305","0"
"1","1","6","6","2","1",3.68,"2","2","306","1"
"1","3","34","11","5","0",2.74,"2","1","307","0"
"0","2","23","23","2","3",3.89,"4","2","308","1"
"0","1","14","14","1","2",3.3,"0","1","309","1"
"0","2","14","14","3","2",3.6,"2","2","310","1"
"0","2","4","4","2","2",3.1,"0","1","311","1"
"1","2","12","12","2","2",4.0,"1","1","312","1"
"1","1","16","16","2","1",3.41,"3","2","313","1"
"0","1","8","5","4","0",2.33,"0","2","314","0"
"1","2","7","7","3","1",3.72,"2","2","315","1"
"0","1","28","19","4","0",1.3,"4","1","316","0"
"1","3","17","23","3","0",2.41,"4","2","317","0"
"0","3","10","22","5","0",2.37,"5","1","318","0"
"0","2","15","15","2","1",3.1,"0","1","319","1"
"0","1","4","12","5","0",2.29,"0","1","320","0"
"0","3","27","7","3","0",2.1,"4","1","321","0"
"1","3","15","27","3","0",2.19,"0","1","322","0"
"0","1","13","13","1","2",4.0,"2","1","323","1"
"1","2","17","17","1","1",3.2,"0","1","324","1"
"1","2","11","14","3","0",2.83,"1","1","325","0"
"0","2","3","3","2","1",3.33,"4","2","326","1"
"0","2","28","21","3","0",1.57,"1","2","327","0"
"1","2","33","33","2","3",3.97,"3","2","328","1"
"0","2","21","21","2","3",3.66,"4","2","329","1"
"0","1","32","32","3","2",3.83,"2","2","330","1"
"0","2","3","3","1","1",3.7,"1","1","331","1"
"1","2","17","17","2","3",3.88,"4","2","332","1"
"0","1","1","34","5","0",1.62,"5","2","333","0"
"1","2","3","3","1","2",3.3,"1","1","334","1"
"1","1","15","15","2","3",3.39,"3","2","335","1"
"0","3","19","9","3","0",2.4,"1","1","336","0"
"0","1","11","11","3","2",3.33,"2","2","337","1"
"0","1","17","17","1","2",3.7,"1","1","338","1"
"1","1","25","25","1","1",3.6,"0","1","339","1"
"1","1","15","10","3","0",1.25,"3","2","340","0"
"1","2","26","8","3","0",1.41,"2","1","341","0"
"0","2","2","8","3","0",1.54,"2","2","342","0"
"1","1","20","25","5","0",1.83,"3","1","343","0"
"0","1","31","31","2","2",3.7,"2","1","344","1"
"0","1","32","32","3","3",3.85,"3","2","345","1"
"0","2","32","32","1","2",3.3,"1","1","346","1"
"1","2","5","5","1","1",3.3,"2","1","347","1"
"0","2","3","25","3","0",2.71,"5","1","348","0"
"1","3","30","3","5","0",2.72,"4","2","349","0"
"0","3","31","7","5","0",1.46,"3","2","350","0"
"1","2","31","9","3","0",2.22,"3","1","351","0"
"1","2","6","6","1","2",3.2,"0","1","352","1"
"0","2","9","9","1","1",3.1,"0","1","353","1"
"0","1","26","26","3","1",3.45,"3","2","354","1"
"0","3","20","6","3","0",2.44,"0","2","355","0"
"1","1","16","16","2","1",3.6,"4","2","356","1"
"1","1","11","9","5","0",2.01,"1","1","357","0"
"1","1","34","34","2","1",3.2,"2","1","358","1"
"0","1","27","21","4","0",2.99,"1","1","359","0"
"1","1","13","13","2","1",3.72,"4","2","360","1"
"0","1","22","22","3","2",3.53,"2","2","361","1"
"0","2","28","28","3","3",3.43,"3","2","362","1"
"0","1","24","23","5","0",1.77,"1","1","363","0"
"1","1","7","5","5","0",2.97,"0","2","364","0"
"0","3","3","22","5","0",1.32,"2","2","365","0"
"1","2","17","17","2","1",3.4,"1","1","366","1"
"0","2","3","3","3","2",3.47,"4","2","367","1"
"1","2","8","6","4","0",1.28,"1","2","368","0"
"0","2","6","9","5","0",2.79,"5","2","369","0"
"1","2","9","26","3","0",2.38,"4","1","370","0"
"0","3","17","5","3","0",1.5,"1","2","395","0"
"0","3","24","3","5","0",2.04,"4","1","396","0"
"0","2","24","24","3","2",3.56,"2","2","397","1"
"1","1","6","6","3","3",3.93,"3","2","398","1"
"1","1","22","22","1","1",3.4,"2","1","399","1"
"1","1","34","34","1","2",4.0,"1","1","400","1"
"0","2","9","9","3","1",3.61,"4","2","401","1"
"1","1","28","11","3","0",1.76,"5","2","402","0"
"1","2","3","3","1","1",4.0,"2","1","403","1"
"1","1","1","1","2","1",3.9,"1","1","404","1"
"0","1","25","25","2","1",3.39,"4","2","405","1"
"0","1","22","22","2","1",3.3,"2","1","406","1"
"1","1","17","17","2","1",3.8,"0","1","407","1"
"0","1","10","10","2","1",3.27,"3","2","408","1"
"1","2","4","4","2","2",3.4,"1","1","409","1"
"0","2","13","8","3","0",2.83,"3","2","410","0"
"1","1","17","17","1","2",3.8,"2","1","411","1"
"0","3","3","29","5","0",2.2,"5","2","412","0"
"1","2","31","31","3","1",3.52,"4","2","413","1"
"0","1","19","18","3","0",1.44,"0","2","414","0"
"1","1","18","18","1","1",3.7,"0","1","415","1"
"1","2","31","31","3","3",3.35,"4","2","416","1"
"0","1","18","18","3","3",3.6,"2","2","417","1"
"0","2","28","28","2","2",3.47,"4","2","418","1"
"1","1","1","34","5","0",1.18,"4","1","419","0"
"1","2","31","31","2","2",3.43,"2","2","420","1"
"1","3","11","33","3","0",1.95,"0","1","421","0"
"1","1","30","30","3","2",3.42,"2","2","422","1"
"0","2","10","10","1","2",3.7,"1","1","423","1"
"1","3","9","6","3","0",1.84,"5","1","424","0"
"1","1","15","26","4","0",2.75,"2","1","425","0"
"0","1","10","10","2","3",3.67,"2","2","426","1"
"0","3","18","34","4","0",1.99,"1","1","427","0"
"1","1","9","9","1","1",3.6,"0","1","428","1"
"1","2","18","18","2","1",3.2,"0","1","429","1"
"1","2","22","22","1","2",3.8,"0","1","430","1"
"1","2","5","12","3","0",1.38,"1","2","431","0"
"1","2","16","16","3","2",3.78,"4","2","432","1"
"1","3","6","6","3","0",1.68,"2","1","433","0"
"1","2","4","31","4","0",2.27,"4","2","434","0"
"1","2","3","10","5","0",2.56,"1","1","435","0"
"0","2","29","28","4","0",2.48,"3","2","436","0"
"0","2","17","12","3","0",2.86,"0","2","437","0"
"1","3","23","6","4","0",1.82,"1","1","438","0"
"0","3","30","26","4","0",2.87,"2","1","439","0"
"1","1","26","17","5","0",2.66,"0","1","440","0"
"1","2","18","18","2","3",3.49,"3","2","441","1"
"0","1","24","13","3","0",2.53,"4","1","442","0"
"1","1","11","11","2","3",3.61,"2","2","443","1"
"0","1","17","17","1","1",3.6,"0","1","444","1"
"0","1","10","10","3","3",3.63,"4","2","445","1"
"0","3","26","34","4","0",2.04,"2","2","446","0"
"0","1","20","20","3","3",3.39,"3","2","447","1"
"0","2","13","34","5","0",1.79,"0","2","448","0"
"0","2","8","15","3","0",2.6,"3","2","449","0"
"0","1","23","4","5","0",2.95,"1","2","450","0"
"0","1","13","13","3","1",3.29,"4","2","451","1"
"0","2","31","7","4","0",2.69,"3","2","452","0"
"1","1","19","10","4","0",2.5,"0","2","453","0"
"0","2","26","26","2","3",3.47,"2","2","454","1"
"0","2","27","25","4","0",1.12,"2","1","455","0"
"0","2","11","11","3","3",3.96,"2","2","456","1"
"1","1","14","32","4","0",1.42,"1","2","457","0"
"1","1","7","30","4","0",1.5,"5","2","458","0"
"1","2","2","2","1","1",4.0,"1","1","459","1"
"0","2","3","3","2","1",3.47,"2","2","460","1"
"0","1","11","9","5","0",1.19,"1","1","461","0"
"0","1","24","29","4","0",1.97,"2","2","462","0"
"0","1","7","7","3","2",3.9,"2","2","463","1"
"1","2","20","19","3","0",2.31,"4","2","464","0"
"1","1","15","15","2","2",3.53,"3","2","465","1"
"1","2","5","10","3","0",2.64,"5","1","466","0"
"0","1","26","6","3","0",1.36,"1","1","467","0"
"1","2","21","21","2","2",3.9,"1","1","468","1"
"0","1","34","34","1","1",4.0,"1","1","469","1"
"0","2","18","31","3","0",2.14,"2","1","470","0"
"1","1","26","26","2","2",3.7,"2","2","471","1"
"0","1","25","25","2","1",3.36,"3","2","472","1"
"0","3","34","24","3","0",2.32,"0","2","473","0"
"0","2","22","22","2","1",4.0,"0","1","474","1"
"0","2","34","33","4","0",1.15,"0","1","475","0"
"1","1","7","7","2","3",3.54,"3","2","476","1"
"0","2","6","31","5","0",1.52,"3","1","477","0"
"0","1","30","30","4","0",2.58,"5","2","478","0"
"1","2","20","20","1","1",3.5,"2","1","479","1"
"1","1","12","12","1","2",3.4,"2","1","480","1"
"0","1","24","24","3","3",3.9,"3","2","481","1"
"1","3","21","28","4","0",1.14,"0","1","482","0"
"0","2","4","4","2","2",3.4,"1","1","483","1"
"1","1","8","8","2","2",3.5,"2","1","484","1"
"1","1","18","18","1","2",3.1,"1","1","485","1"
"0","3","5","9","5","0",1.33,"0","1","486","0"
"1","1","26","26","3","2",3.61,"2","2","487","1"
"1","3","31","5","5","0",2.03,"3","2","488","0"
"1","2","11","3","4","0",2.75,"5","2","489","0"
"1","1","6","11","3","0",2.71,"2","1","490","0"
"0","3","6","18","3","0",2.89,"2","1","491","0"
"1","2","12","13","3","0",2.07,"1","2","492","0"
"0","1","29","29","2","3",3.99,"4","2","493","1"
"0","2","33","33","2","1",3.42,"2","2","494","1"
"0","2","17","32","4","0",2.03,"1","1","495","0"
"0","3","14","12","3","0",1.54,"5","1","496","0"
"0","1","32","32","4","0",1.36,"3","2","497","0"
"0","2","16","31","4","0",1.17,"3","2","498","0"
"0","1","26","26","1","2",3.1,"0","1","499","1"
"0","2","20","21","3","0",1.04,"0","1","500","0"
"0","2","28","25","5","0",2.15,"4","1","501","0"
"1","1","1","1","3","2",3.95,"2","2","502","1"
"0","2","20","20","1","1",3.8,"0","1","503","1"
"0","1","11","11","1","2",3.2,"1","1","504","1"
"1","2","5","5","2","3",3.93,"2","2","505","1"
"1","1","25","25","2","1",3.55,"4","2","506","1"
"1","1","9","9","2","3",3.49,"2","2","507","1"
"0","1","18","23","4","0",2.92,"1","1","508","0"
"0","2","6","16","4","0",2.74,"4","2","509","0"
"1","1","19","19","3","2",3.27,"4","2","510","1"
"0","2","28","28","3","1",3.52,"3","2","511","1"
"1","1","5","5","3","1",3.81,"4","2","512","1"
"0","2","19","19","1","2",3.1,"1","1","513","1"
"1","1","9","9","2","2",3.93,"2","2","514","1"
"1","2","1","19","4","0",1.37,"0","1","515","0"
"1","2","26","33","5","0",2.6,"4","2","516","0"
"1","1","29","14","4","0",2.59,"5","1","517","0"
"0","2","30","30","1","1",3.7,"2","1","518","1"
"1","1","33","33","1","2",3.4,"2","1","519","1"
"1","3","27","14","4","0",1.27,"3","1","520","0"
"1","2","10","10","1","1",3.4,"1","1","521","1"
"0","2","24","24","3","1",3.77,"2","2","522","1"
"1","2","32","20","3","0",2.26,"4","1","523","0"
"0","2","31","31","2","1",3.7,"0","1","524","1"
"1","1","30","25","5","0",1.33,"4","2","525","0"
"1","1","8","29","5","0",2.71,"1","2","526","0"
"1","2","13","28","4","0",1.7,"2","2","527","0"
"1","2","3","10","3","0",1.63,"5","2","528","0"
"0","1","6","6","1","2",3.1,"1","1","529","1"
"0","3","29","10","4","0",2.23,"2","2","530","0"
"1","1","9","9","2","2",3.28,"4","2","531","1"
"0","2","26","14","4","0",2.32,"0","1","532","0"
"0","1","12","12","2","1",3.7,"1","1","533","1"
"1","2","22","28","5","0",1.57,"2","1","534","0"
"0","3","18","26","3","0",1.49,"3","1","535","0"
"0","1","18","18","2","1",3.6,"0","1","536","1"
"1","3","13","4","5","0",1.25,"1","2","537","0"
"0","1","19","19","1","1",3.1,"1","1","538","1"
"0","1","24","24","3","1",3.95,"2","2","539","1"
"0","2","16","16","2","1",3.88,"2","2","540","1"
"0","2","14","26","4","0",2.24,"0","1","541","0"
"0","2","20","20","1","1",4.0,"0","1","542","1"
"1","1","12","12","2","1",3.92,"4","2","543","1"
"0","1","30","5","4","0",1.2,"5","1","544","0"
"0","1","21","21","2","2",3.31,"2","2","545","1"
"1","2","33","33","2","1",3.3,"3","2","546","1"
"1","2","27","27","2","1",3.5,"1","1","547","1"
"0","2","5","16","5","0",1.54,"0","2","548","0"
"1","2","21","21","2","2",3.64,"2","2","549","1"
"1","2","28","23","3","0",1.82,"0","1","550","0"
"1","2","28","17","3","0",1.2,"1","1","551","0"
"0","1","7","7","2","1",3.8,"2","1","552","1"
"1","1","7","7","2","1",3.75,"3","2","553","1"
"1","3","2","33","4","0",1.02,"1","1","554","0"
"0","2","9","21","4","0",2.6,"2","2","555","0"
"0","3","16","1","4","0",2.05,"4","2","556","0"
"0","1","17","17","3","1",3.65,"3","2","557","1"
"1","2","30","30","3","2",3.41,"3","2","558","1"
"0","1","18","18","3","3",3.77,"4","2","559","1"
"1","1","6","6","3","2",3.82,"3","2","560","1"
"1","2","25","13","3","0",1.11,"2","1","561","0"
"0","1","5","25","4","0",2.48,"4","2","562","0"
"1","1","3","28","4","0",2.84,"1","2","563","0"
"1","2","20","20","2","1",3.87,"2","2","564","1"
"0","3","18","12","3","0",1.72,"0","2","565","0"
"0","2","4","4","2","3",3.87,"4","2","566","1"
"0","1","12","12","1","2",3.1,"1","1","567","1"
"1","3","22","27","3","0",2.44,"3","2","568","0"
"0","1","10","10","2","2",3.6,"0","1","569","1"
"0","1","13","13","2","2",3.67,"4","2","570","1"
"0","1","33","33","3","2",3.65,"2","2","571","1"
"1","2","25","19","4","0",2.18,"4","2","572","0"
"0","1","33","9","4","0",1.08,"2","1","573","0"
"1","1","3","3","1","2",3.2,"0","1","574","1"
"0","2","1","26","5","0",2.14,"2","1","575","0"
"1","3","13","28","4","0",2.71,"2","2","576","0"
"0","2","28","28","2","2",3.1,"1","1","577","1"
"0","2","21","21","2","2",3.4,"2","1","578","1"
"1","1","30","28","5","0",2.36,"4","1","579","0"
"1","1","12","12","3","2",3.68,"2","2","580","1"
"1","1","31","31","2","2",3.7,"1","1","581","1"
"0","1","28","28","2","1",3.3,"1","1","582","1"
"1","1","29","29","2","1",3.8,"2","1","583","1"
